id,course,NGA?
4510,60,
4225,70,
3986,90,
4255,96,
4244,18,
4209,21,Y
3845,77,
3991,64,
3937,60,
4527,68,
4258,61,Y
3897,77,
4217,78,
4138,84,
4507,70,Y
4568,91,
4249,52,
4355,57,
3740,52,
4320,40,
4021,57,
3844,88,
4144,68,
4106,54,
3977,58,
3860,8,
4335,66,
3741,22,
3993,88,
4045,75,
4573,67,
4118,72,
4325,95,
4152,74,
3970,70,
4515,72,
4095,72,
3768,55,
4291,77,
4189,84,
4114,81,
4024,86,
4319,63,Y
3833,58,
3756,71,
4162,90,
4440,92,
3753,75,Y
4145,90,
3743,84,
3856,85,
4423,63,
3786,95,
4252,55,
3905,86,
3738,87,
4070,84,
3759,70,
4439,83,
4445,24,
3817,64,
3990,82,
4236,86,
4434,66,
4058,96,
3917,53,
4484,45,
4036,61,
4156,80,
4501,47,
3757,56,
3869,84,
4272,72,
4166,84,
4253,80,
3793,54,
4576,67,
4027,50,
4534,77,
4618,84,
3871,80,
4146,86,
4360,76,
4338,88,
4379,60,
4191,58,
3790,81,
4504,54,Y
3947,14,
3966,28,
3815,87,
4020,76,Y
3899,67,
4422,61,
4376,80,
3764,83,
4631,84,
4305,85,
4306,68,
3765,50,
4184,82,
4525,60,
3857,93,
4347,81,Y
4351,85,
4105,88,
4229,42,
4626,78,
4386,64,
4318,70,
3982,71,
4401,68,
4352,76,
3915,68,
4326,30,
4194,73,
4238,73,
4096,16,
4261,31,
3957,12,
4270,80,
4046,40,
4383,67,
4502,57,
3934,67,
4174,80,
3946,90,
4207,66,
4353,74,
4153,63,
4365,50,
4188,21,
4605,50,
4248,68,
4205,67,
4247,86,
3780,58,
4427,62,
4196,97,
4121,90,
4548,81,
4583,64,
4208,93,
4169,70,
3962,80,
4520,95,
3805,60,
4100,53,
4048,64,
4596,84,
4597,75,
4260,84,
3873,67,
4324,66,
4454,73,
4406,50,
4037,90,
4129,12,
4529,75,Y
3858,93,
4010,62,
3987,55,
4554,57,
4551,35,
4577,84,
3799,90,
4330,91,
4327,73,
3762,64,
4495,81,
4389,81,
3880,73,
4491,47,
4032,85,
4292,15,
3849,31,
4413,29,
3811,72,
3840,81,
4519,70,
3822,78,
4254,63,
4516,64,
4289,80,
4455,94,
4038,47,
4123,45,
4183,99,
4526,64,
3901,80,
4312,62,
4382,72,
3798,57,
4450,47,
4223,33,
4453,81,
3847,74,
4051,82,
3747,64,
3867,68,
4315,77,
4000,85,
4518,30,Y
4368,91,
4363,86,
4487,70,
4367,88,
4264,90,
4509,70,
4185,77,
3911,15,
4436,71,
4057,80,
4039,90,
4332,82,
4356,87,
3951,70,Y
4161,72,
4535,26,
4206,71,
4394,98,
4173,76,
3927,68,
4578,32,
3769,73,
3961,7,
4604,87,
4259,64,
4018,65,
4539,72,
3771,51,
4101,56,
4078,78,
4569,47,
3878,93,
4128,80,
3746,61,Y
4025,56,
4281,30,Y
4310,44,Y
3919,84,
3992,91,
4198,91,
3750,75,
3978,84,
4542,83,
3825,52,
4431,70,
3872,71,
4503,90,
4530,32,Y
4369,39,
4421,24,
3859,72,
4219,76,
3988,90,
4341,65,
4417,19,
4415,30,
3924,80,
3894,94,
4611,71,
4308,86,
3855,70,
4228,35,
4262,87,
4056,51,
4028,87,
4005,91,
4143,60,
4042,78,
3928,75,
3960,50,
3889,81,
4088,70,
4132,74,
4243,83,
4064,95,
4089,97,
4432,68,
4014,43,Y
4582,72,
4075,70,Y
3926,62,
4634,60,
4199,90,
4231,73,
3907,80,
4396,61,
4566,81,
3863,44,
4545,84,
4536,12,
4201,50,
3944,70,
3886,41,
3751,61,
3830,80,
3900,95,
4102,47,
3773,91,
3985,56,
4374,86,
3807,90,
3827,40,
4069,91,
3829,73,
4541,70,
3792,86,
4512,53,
4116,47,
4239,61,Y
4072,90,
3810,82,
4151,88,
4372,70,
4190,82,
4391,90,
4606,76,
3791,35,
3891,20,
3816,90,
4150,73,
3976,38,
4227,66,
3941,75,
4224,77,
4322,15,
4400,63,
4033,80,
4442,50,
4581,70,
4370,80,
3892,83,
3881,76,
4087,86,
4251,60,
4304,71,
4002,63,
4517,31,
4104,81,
4514,16,
4390,80,
3739,80,
4398,61,
4513,71,
3980,84,
3828,67,
4609,39,
3984,85,
4565,68,
4333,90,
3876,81,Y
4506,64,
4211,77,
4216,28,
4135,86,
4066,70,
4220,72,
4359,47,
4483,47,
4405,83,
4131,88,
4481,88,
3956,52,Y
4403,63,
3748,77,
3959,65,
4366,67,
3865,57,
3989,81,
4556,70,
3777,71,
4490,80,
4242,57,
4155,86,
4378,83,
4275,75,
4086,84,
4371,90,
4425,61,
3744,46,
4441,80,
4009,88,
4293,74,
3885,77,
3936,97,
4127,59,Y
4603,61,
4342,74,
4076,95,
4179,91,
4508,85,
4612,55,Y
3895,65,
3890,81,
4273,65,
4019,53,
3852,36,
4099,28,
3801,77,
3874,71,
4317,83,
3772,40,
4120,47,
4063,97,
3824,30,
4053,60,
4110,80,Y
4337,55,
4044,61,
4029,62,
4426,75,
4008,62,
4350,86,
4240,66,
3979,73,
3903,83,
4449,80,
4575,77,
4022,85,
4269,88,
3997,41,
3994,84,
4381,93,
4429,64,Y
4111,55,
4164,25,
4093,78,
4226,77,
4546,97,
4533,84,
4124,63,
4364,82,
3796,63,
4085,66,
4608,47,
3821,71,
3938,78,
4246,98,
4402,66,Y
4593,84,
4181,90,
4329,70,
4433,71,
3804,82,
4097,76,
