trees.RandomForest,rules.PART,bayes.NaiveBayes,trees.J48,multitron,bayes.BayesNet,trees.DecisionStump,rules.DecisionTable
41.7266,42.446,47.482,52.518,54.285714285714285,31.6547,48.2014,41.0072
41.0072,40.2878,46.7626,38.1295,55.714285714285715,34.5324,49.6403,48.9209
44.6043,41.7266,44.6043,38.1295,50.0,38.1295,42.446,48.2014
41.0072,40.2878,50.3597,42.446,52.857142857142861,30.2158,46.0432,46.7626
41.0072,44.6043,46.0432,47.482,48.571428571428569,35.9712,42.446,46.7626
43.8849,43.8849,51.7986,39.5683,50.714285714285708,46.7626,47.482,51.0791
41.0072,36.6906,35.9712,35.9712,49.285714285714292,39.5683,41.7266,41.0072
36.6906,38.8489,43.1655,43.1655,52.857142857142861,38.8489,45.3237,46.0432
38.8489,38.1295,48.2014,40.2878,52.857142857142861,44.6043,52.518,53.2374
38.8489,38.1295,46.7626,41.0072,58.571428571428577,45.3237,46.0432,45.3237
39.5683,41.7266,46.0432,43.1655,52.857142857142861,40.2878,46.0432,43.8849
41.7266,38.8489,49.6403,38.8489,54.285714285714285,31.6547,42.446,48.2014
40.2878,43.8849,48.9209,41.0072,47.142857142857139,35.2518,46.7626,47.482
37.4101,44.6043,51.0791,41.7266,53.571428571428569,39.5683,49.6403,50.3597
40.2878,41.7266,42.446,39.5683,53.571428571428569,31.6547,41.7266,48.2014
43.8849,40.2878,50.3597,45.3237,54.285714285714285,45.3237,54.6763,53.2374
42.446,39.5683,50.3597,42.446,47.142857142857139,29.4964,48.9209,53.2374
51.7986,48.9209,53.9568,43.8849,52.142857142857146,41.7266,50.3597,43.8849
38.8489,43.1655,49.6403,50.3597,53.571428571428569,29.4964,53.2374,50.3597
41.7266,39.5683,48.2014,38.8489,50.714285714285708,43.1655,47.482,53.9568
45.3237,41.0072,42.446,42.446,53.571428571428569,33.0935,43.8849,46.7626
43.8849,43.1655,48.2014,44.6043,50.0,39.5683,47.482,48.2014
48.2014,40.2878,53.9568,38.8489,57.142857142857139,41.0072,50.3597,52.518
43.8849,35.9712,46.7626,42.446,50.714285714285708,38.1295,48.9209,53.2374
44.6043,45.3237,46.7626,44.6043,56.428571428571431,43.1655,56.1151,52.518
41.7266,41.0072,54.6763,46.0432,55.000000000000007,45.3237,53.9568,55.3957
41.7266,47.482,52.518,42.446,53.571428571428569,42.446,48.9209,51.0791
43.1655,36.6906,46.0432,38.1295,51.428571428571423,44.6043,48.2014,51.7986
40.2878,40.2878,48.2014,43.1655,52.142857142857146,44.6043,48.9209,54.6763
45.3237,45.3237,42.446,41.0072,53.571428571428569,40.2878,44.6043,47.482
38.1295,40.2878,51.7986,42.446,52.857142857142861,39.5683,51.7986,51.0791
43.8849,37.4101,45.3237,43.1655,47.857142857142861,42.446,46.0432,48.2014
39.5683,45.3237,47.482,37.4101,54.285714285714285,39.5683,49.6403,51.7986
36.6906,39.5683,53.9568,43.1655,48.571428571428569,41.7266,57.554,58.2734
38.1295,35.9712,46.7626,32.3741,53.571428571428569,37.4101,37.4101,40.2878
38.8489,43.8849,50.3597,50.3597,56.428571428571431,44.6043,49.6403,53.9568
36.6906,42.446,54.6763,41.0072,52.857142857142861,46.0432,48.2014,43.1655
41.7266,43.1655,50.3597,47.482,53.571428571428569,40.2878,44.6043,48.9209
38.1295,41.0072,46.7626,39.5683,49.285714285714292,33.8129,41.0072,46.0432
41.7266,46.0432,51.7986,41.0072,53.571428571428569,40.2878,50.3597,54.6763
39.5683,35.2518,51.0791,35.2518,54.285714285714285,36.6906,43.8849,42.446
44.6043,39.5683,45.3237,51.7986,55.714285714285715,41.7266,47.482,53.9568
38.1295,42.446,46.0432,38.8489,46.428571428571431,40.2878,44.6043,51.0791
46.7626,41.0072,43.1655,37.4101,50.714285714285708,33.0935,49.6403,51.0791
41.0072,43.8849,50.3597,44.6043,54.285714285714285,39.5683,46.7626,58.2734
46.7626,45.3237,45.3237,43.1655,48.571428571428569,33.0935,49.6403,47.482
45.3237,46.7626,53.2374,43.8849,57.142857142857139,36.6906,46.0432,55.3957
38.1295,42.446,53.9568,41.7266,55.000000000000007,30.2158,49.6403,44.6043
39.5683,48.9209,56.8345,48.2014,55.000000000000007,49.6403,53.2374,53.9568
42.446,41.0072,41.7266,41.7266,50.714285714285708,42.446,46.0432,45.3237
