rf,mp
72.8261,68.75
73.913,70.833333333333343
71.7391,71.875
64.1304,71.875
75.0,77.083333333333343
73.913,69.791666666666657
79.3478,70.833333333333343
67.3913,65.625
79.3478,65.625
71.7391,67.708333333333343
65.2174,73.958333333333343
70.6522,69.791666666666657
67.3913,70.833333333333343
75.0,72.916666666666657
69.5652,76.041666666666657
70.6522,73.958333333333343
72.8261,73.958333333333343
65.2174,70.833333333333343
70.6522,70.833333333333343
68.4783,73.958333333333343
78.2609,71.875
66.3043,67.708333333333343
71.7391,72.916666666666657
68.4783,70.833333333333343
75.0,70.833333333333343
72.8261,71.875
67.3913,75.0
77.1739,75.0
76.087,68.75
71.7391,70.833333333333343
71.7391,67.708333333333343
66.3043,75.0
63.0435,67.708333333333343
69.5652,72.916666666666657
76.087,69.791666666666657
61.9565,68.75
67.3913,71.875
73.913,72.916666666666657
68.4783,69.791666666666657
66.3043,65.625
73.913,70.833333333333343
75.0,72.916666666666657
68.4783,66.666666666666657
68.4783,71.875
73.913,67.708333333333343
64.1304,70.833333333333343
71.7391,70.833333333333343
68.4783,68.75
71.7391,69.791666666666657
70.6522,71.875
